question,label
R&D 정보 요약은 어디서 확인하는지 궁금합니다,IntroduceServices
분류 기반 특허 분석 서비스는 어디서 보나요,IntroduceServices
활용가이드 서비스가 궁금해,IntroduceServices
국가R&D 기관평가 서비스 어떻게 사용하는지,IntroduceServices
국가R&D통합공고 서비스는 어디서 보는지 알려줘,IntroduceServices
국가R&D법령매뉴얼은 어디서 어떻게 활용하는지,IntroduceServices
R&D예타로 서비스는 어떻게 볼 수 있는지 알려주세요,IntroduceServices
R&D 데이터 신청 어떻게 사용하지,IntroduceServices
R&D 제도 문의 서비스를 이용 하는 법,IntroduceServices
과제평가결과조회 서비스는 어떻게 사용하지,IntroduceServices
자료실은 어떻게 활용할 수 있는지 궁금해요,IntroduceServices
정책기술동향 서비스는 어디서 확인하는지 궁금해요,IntroduceServices
이슈로 보는 R&D,IntroduceServices
연구생태계맵 서비스는 어떻게 활용할 수 있는지 궁금해요,IntroduceServices
과학 기술 통계,IntroduceServices
R&D 기평비 관리 서비스 활용 어떻게 함,IntroduceServices
R&D 기평비 관리 서비스 어디서 확인하는지 말해줘,IntroduceServices
국가R&D법령매뉴얼 어떻게 활용할 수 있는지 궁금해요,IntroduceServices
R&D 정보 요약 어디서 어떻게 활용하죠,IntroduceServices
연구자 정보는 어떻게 사용하죠,IntroduceServices
R&D예타로(路) 서비스는 어디서 보나요,IntroduceServices
이슈로보는R&D 서비스는 어디서 보는지 알려주세요,IntroduceServices
과제 및 성과 입력 (SIMS) 서비스는 어떻게 사용하지,IntroduceServices
국가R&D 전주기가 뭐야,IntroduceServices
예타로 서비스 어떻게 볼 수 있는지 알려줘,IntroduceServices
R&D 정보 요약 서비스는 어떻게 활용할 수 있나요,IntroduceServices
NTIS 페이스북은 어떻게 활용하나요,IntroduceServices
논문 특허 검증지원은 어디서 볼 수 있는지 알려줘,IntroduceServices
챗봇 앤디 어떻게 사용하지,IntroduceServices
R&D제도 문의는 어떻게 활용하나요,IntroduceServices
앤디 어떻게 사용하는지,IntroduceServices
카드 뉴스 서비스 어디서 확인하는지 궁금합니다,IntroduceServices
분류기반특허분석 서비스는 어떻게 볼 수 있는지 알려줘,IntroduceServices
연구 개발 성과 등록 서비스는 어디서 어떻게 활용하죠,IntroduceServices
과학참견 서비스 어떻게 사용하나요,IntroduceServices
과제 평가결과조회가 궁금해,IntroduceServices
R&D제도문의는 어디서 어떻게 이용하는지,IntroduceServices
R&D 제도 문의는 활용 어떻게 함,IntroduceServices
연구개발성과 등록은 어떻게 사용하나요,IntroduceServices
기술이전 사업화정보 서비스 어떻게 사용하죠,IntroduceServices
국가 R&D 사업평가는 어디서 확인하는지 말해줘,IntroduceServices
정책 기술 동향은 사용 어떻게 함,IntroduceServices
제재정보조회 서비스 어디서 어떻게 이용하는지,IntroduceServices
분류기반 특허 분석은 어떻게 볼 수 있는지 알려주세요,IntroduceServices
중장기계획예산사업 활용 하는 법,IntroduceServices
디렉토리검색 이용방법을 알려주세요,IntroduceServices
R&D 정보 요약은 어떻게 사용하지,IntroduceServices
강좌 찾기 어떻게 사용하죠,IntroduceServices
NTIS 페이스북 서비스는 어떻게 활용하는지,IntroduceServices
분류 기반 특허 분석 서비스가 궁금해,IntroduceServices
NTIS 소개는 어디서 볼 수 있는지 알려주세요,IntroduceServices
국가R&D법령 매뉴얼이 뭐지,IntroduceServices
사업 및 기관 성과 평가 서비스는 어떻게 활용하는지,IntroduceServices
NTIS소개 어떻게 이용하나요,IntroduceServices
평가 위원 후보 추천 서비스는 어디서 보는지 알려주세요,IntroduceServices
이슈로보는R&D 서비스 어떻게 사용하나요,IntroduceServices
국가 연구 개발 성과 서비스 사용 어떻게 함,IntroduceServices
논문특허검증지원은 어떻게 사용하지,IntroduceServices
과찬의 말씀 서비스는 어디서 볼 수 있는지 알려줘,IntroduceServices
사업 및 기관성과 평가는 사용 어떻게 함,IntroduceServices
분류기반 특허 분석 서비스는 사용 어떻게 함,IntroduceServices
과학기술통계 서비스 어떻게 볼 수 있는지 알려주세요,IntroduceServices
연구개발성과등록 서비스는 어떻게 사용해,IntroduceServices
국가R&D수행기관 서비스는 어떻게 사용하는지,IntroduceServices
활용 사례는 어떻게 볼 수 있는지 알려줘,IntroduceServices
평가위원후보추천은 어디서 볼 수 있는지 알려주세요,IntroduceServices
국가연구개발 우수 성과 어떻게 활용하는지,IntroduceServices
통합검색 디렉토리검색을 이용하는 법,IntroduceServices
기평비 관리 서비스는 어디서 확인하는지 알려줘,IntroduceServices
NTIS유튜브 어떻게 사용하나요,IntroduceServices
연구생태계맵 어떻게 사용하지,IntroduceServices
사업및기관성과평가 서비스는 어떻게 활용할 수 있나요,IntroduceServices
과제평가 결과조회는 어디서 확인하는지 궁금합니다,IntroduceServices
국가 R&D 기관 평가 서비스는 어떻게 사용하지,IntroduceServices
국가 연구 개발 우수 성과는 어디서 보는지 알려줘,IntroduceServices
NTIS 트위터 서비스 어디서 확인하는지 궁금해요,IntroduceServices
챗봇 앤디 서비스는 어디서 어떻게 이용하는지,IntroduceServices
사업 및 기관 성과 평가 서비스 어디서 어떻게 활용하죠,IntroduceServices
유사 과제 서비스 어떻게 활용할 수 있나요,IntroduceServices
과학기술통계는 어디서 확인하는지 궁금해요,IntroduceServices
R&D 제도문의 이용 하는 법,IntroduceServices
사업 및 기관성과평가는 어떻게 사용하지,IntroduceServices
기술이전사업화정보 어떻게 사용할 수 있나요,IntroduceServices
평가 위원 후보추천 서비스는 어떻게 볼 수 있나요,IntroduceServices
평가위원 후보추천 서비스는 어디서 어떻게 활용하는지,IntroduceServices
국가연구개발 성과 서비스 이용 하는 법,IntroduceServices
평가 위원 후보추천 어디서 어떻게 활용하죠,IntroduceServices
과제평가 결과조회 서비스는 어떻게 보는지 알려주세요,IntroduceServices
과제평가 결과 조회 어떻게 사용하는지,IntroduceServices
예타로 서비스는 어디서 확인하는지 궁금합니다,IntroduceServices
